NACE,EuralCode,AG
0115,080315,A
0115,080318,A
0115,080410,A
0115,080412,A
0115,080414,A
0115,080416,A
0115,040216,A
0115,080111,A
0115,080113,A
0115,080115,A
0115,080117,A
0115,080119,A
0115,080312,A
0115,080314,A
0115,080317,A
0115,080409,A
0115,080411,A
0115,080413,A
0115,080415,A
0115,030299,A
0115,040215,A
0115,070215,A
0115,070217,A
0115,030201,A
0115,030202,A
0115,030203,A
0115,030204,A
0115,030205,A
0115,040214,A
0115,050701,A
0115,060802,A
0115,070214,A
0115,070216,A
0115,070413,A
0115,080121,A
0115,080501,A
0115,200119,A
0115,200132,A
0115,180108,A
0115,180207,A
0115,200131,A
0115,200128,A
0115,200127,A
0115,100916,A
0115,160115,A
0115,200130,A
0115,100913,A
0115,100915,A
0115,110116,A
0115,110198,A
0115,160113,A
0115,160114,A
0115,160504,A
0115,160903,A
0115,160904,A
0115,180106,A
0115,180205,A
0115,200117,A
0115,200129,A
0115,160402,A
0115,160403,A
0115,160401,A
0115,160506,A
0115,160507,A
0115,160508,A
0115,150110,A
0115,061301,A
0115,061002,A
0115,101014,A
0115,101016,A
0115,101013,A
0115,101015,A
0116,020109,A
0116,080201,A
0116,080307,A
0116,080308,A
0116,020703,A
0116,040109,A
0116,180109,A
0116,180208,A
0116,160505,A
0116,180107,A
0116,180206,A
0116,160509,A
0116,020108,A
0116,070514,A
0116,070513,A
0116,040217,A
0116,080112,A
0116,080114,A
0116,080116,A
0116,080118,A
0116,080120,A
0116,080313,A
0116,080315,A
0116,080318,A
0116,080410,A
0116,080412,A
0116,080414,A
0116,080416,A
0116,040216,A
0116,080111,A
0116,080113,A
0116,080115,A
0116,080117,A
0116,080119,A
0116,080312,A
0116,080314,A
0116,080317,A
0116,080409,A
0116,080411,A
0116,080413,A
0116,080415,A
0116,030299,A
0116,040215,A
0116,070215,A
0116,070217,A
0116,030201,A
0116,030202,A
0116,030203,A
0116,030204,A
0116,030205,A
0116,040214,A
0116,050701,A
0116,060802,A
0116,070214,A
0116,070216,A
0116,070413,A
0116,080121,A
0116,080501,A
0116,200119,A
0116,200132,A
0116,180108,A
0116,180207,A
0116,200131,A
0116,200128,A
0116,200127,A
0116,100916,A
0116,160115,A
0116,200130,A
0116,100913,A
0116,100915,A
0116,110116,A
0116,110198,A
0116,160113,A
0116,160114,A
0116,160504,A
0116,160903,A
0116,160904,A
0116,180106,A
0116,180205,A
0116,200117,A
0116,200129,A
0116,160402,A
0116,160403,A
0116,160401,A
0116,160506,A
0116,160507,A
0116,160508,A
0116,150110,A
0116,061301,A
0116,061002,A
0116,101014,A
0116,101016,A
0116,101013,A
0116,101015,A
0119,020109,A
0119,080201,A
0119,080307,A
0119,080308,A
0119,020703,A
0119,040109,A
0119,180109,A
0119,180208,A
0119,160505,A
0119,180107,A
0119,180206,A
0119,160509,A
0119,020108,A
0119,070514,A
0119,070513,A
0119,040217,A
0119,080112,A
0119,080114,A
0119,080116,A
0119,080118,A
0119,080120,A
0119,080313,A
0119,080315,A
0119,080318,A
0119,080410,A
0119,080412,A
0119,080414,A
0119,080416,A
0119,040216,A
0119,080111,A
0119,080113,A
0119,080115,A
0119,080117,A
0119,080119,A
0119,080312,A
0119,080314,A
0119,080317,A
0119,080409,A
0119,080411,A
0119,080413,A
0119,080415,A
0119,030299,A
0119,040215,A
0119,070215,A
0119,070217,A
0119,030201,A
0119,030202,A
0119,030203,A
0119,030204,A
0119,030205,A
0119,040214,A
0119,050701,A
0119,060802,A
0119,070214,A
0119,070216,A
0119,070413,A
0119,080121,A
0119,080501,A
0119,200119,A
0119,200132,A
0119,180108,A
0119,180207,A
0119,200131,A
0119,200128,A
0119,200127,A
0119,100916,A
0119,160115,A
0119,200130,A
0119,100913,A
0119,100915,A
0119,110116,A
0119,110198,A
0119,160113,A
0119,160114,A
0119,160504,A
0119,160903,A
0119,160904,A
0119,180106,A
0119,180205,A
0119,200117,A
0119,200129,A
0119,160402,A
0119,160403,A
0119,160401,A
0119,160506,A
0119,160507,A
0119,160508,A
0119,150110,A
0119,061301,A
0119,061002,A
0119,101014,A
0119,101016,A
0119,101013,A
0119,101015,A
0121,020109,A
0121,080201,A
0121,080307,A
0121,080308,A
0121,020703,A
0121,040109,A
0121,180109,A
0121,180208,A
0121,160505,A
0121,180107,A
0121,180206,A
0121,160509,A
0121,020108,A
0121,070514,A
0121,070513,A
0121,040217,A
0121,080112,A
0121,080114,A
0121,080116,A
0121,080118,A
0121,080120,A
0121,080313,A
0121,080315,A
0121,080318,A
0121,080410,A
0121,080412,A
0121,080414,A
0121,080416,A
0121,040216,A
0121,080111,A
0121,080113,A
0121,080115,A
0121,080117,A
0121,080119,A
0121,080312,A
0121,080314,A
0121,080317,A
0121,080409,A
0121,080411,A
0121,080413,A
0121,080415,A
0121,030299,A
0121,040215,A
0121,070215,A
0121,070217,A
0121,030201,A
0121,030202,A
0121,030203,A
0121,030204,A
0121,030205,A
0121,040214,A
0121,050701,A
0121,060802,A
0121,070214,A
0121,070216,A
0121,070413,A
0121,080121,A
0121,080501,A
0121,200119,A
0121,200132,A
0121,180108,A
0121,180207,A
0121,200131,A
0121,200128,A
0121,200127,A
0121,100916,A
0121,160115,A
0121,200130,A
0121,100913,A
0121,100915,A
0121,110116,A
0121,110198,A
0121,160113,A
0121,160114,A
0121,160504,A
0121,160903,A
0121,160904,A
0121,180106,A
0121,180205,A
0121,200117,A
0121,200129,A
0121,160402,A
0121,160403,A
0121,160401,A
0121,160506,A
0121,160507,A
0121,160508,A
0121,150110,A
0121,061301,A
0121,061002,A
0121,101014,A
0121,101016,A
0121,101013,A
0121,101015,A
0122,020109,A
0122,080201,A
0122,080307,A
0122,080308,A
0122,020703,A
0122,040109,A
0122,180109,A
0122,180208,A
0122,160505,A
0122,180107,A
0122,180206,A
0122,160509,A
0122,020108,A
0122,070514,A
0122,070513,A
0122,040217,A
0122,080112,A
0122,080114,A
0122,080116,A
0122,080118,A
0122,080120,A
0122,080313,A
0122,080315,A
0122,080318,A
0122,080410,A
0122,080412,A
0122,080414,A
0122,080416,A
0122,040216,A
0122,080111,A
0122,080113,A
0122,080115,A
0122,080117,A
0122,080119,A
0122,080312,A
0122,080314,A
0122,080317,A
0122,080409,A
0122,080411,A
0122,080413,A
0122,080415,A
0122,030299,A
0122,040215,A
0122,070215,A
0122,070217,A
0122,030201,A
0122,030202,A
0122,030203,A
0122,030204,A
0122,030205,A
0122,040214,A
0122,050701,A
0122,060802,A
0122,070214,A
0122,070216,A
0122,070413,A
0122,080121,A
0122,080501,A
0122,200119,A
0122,200132,A
0122,180108,A
0122,180207,A
0122,200131,A
0122,200128,A
0122,200127,A
0122,100916,A
0122,160115,A
0122,200130,A
0122,100913,A
0122,100915,A
0122,110116,A
0122,110198,A
0122,160113,A
0122,160114,A
0122,160504,A
0122,160903,A
0122,160904,A
0122,180106,A
0122,180205,A
0122,200117,A
0122,200129,A
0122,160402,A
0122,160403,A
0122,160401,A
0122,160506,A
0122,160507,A
0122,160508,A
0122,150110,A
0122,061301,A
0122,061002,A
0122,101014,A
0122,101016,A
0122,101013,A
0122,101015,A
0123,020109,A
0123,080201,A
0123,080307,A
0123,080308,A
0123,020703,A
0123,040109,A
0123,180109,A
0123,180208,A
0123,160505,A
0123,180107,A
0123,180206,A
0123,160509,A
0123,020108,A
0123,070514,A
0123,070513,A
0123,040217,A
0123,080112,A
0123,080114,A
0123,080116,A
0123,080118,A
0123,080120,A
0123,080313,A
0123,080315,A
0123,080318,A
0123,080410,A
0123,080412,A
0123,080414,A
0123,080416,A
0123,040216,A
0123,080111,A
0123,080113,A
0123,080115,A
0123,080117,A
0123,080119,A
0123,080312,A
0123,080314,A
0123,080317,A
0123,080409,A
0123,080411,A
0123,080413,A
0123,080415,A
0123,030299,A
0123,040215,A
0123,070215,A
0123,070217,A
0123,030201,A
0123,030202,A
0123,030203,A
0123,030204,A
0123,030205,A
0123,040214,A
0123,050701,A
0123,060802,A
0123,070214,A
