id;geometry;waste amount;co2 amount
96;LINESTRING(6.897091683 52.96218915, 6.8926135 52.9603986, 6.8533617 52.9344601, 6.851714517 52.933536967, 6.8494932 52.9325992, 6.8349444 52.9290224);37574,831;23,57508015
97;LINESTRING(6.873204533 52.993056567, 6.8729715 52.993059, 6.846199 52.9884391, 6.845160683 52.988233717, 6.8440887 52.9880237, 6.7922234 52.9762241, 6.79194395 52.97621335, 6.7916645 52.9762026, 6.7769927 52.9749222, 6.776299133 52.974674811);18,66;0,015838175
100;LINESTRING(6.699154575 52.9045052, 6.6989464 52.904458, 6.659457 52.8954489, 6.6214722 52.8460251, 6.621271167 52.845966833);37875,708;38,18327704
102;LINESTRING(6.621271167 52.845966833, 6.6211471 52.8458564, 6.6110391 52.8446371, 6.61089785 52.84459455, 6.6107566 52.844552, 6.6047834 52.8328307, 6.604028009 52.8319861);37882,128;9,420244642
106;LINESTRING(6.795350532 52.798146095, 6.79000405 52.7991211, 6.789814 52.799137, 6.7390738 52.8023138, 6.732182162 52.802750138);3,222;0,010630954
108;LINESTRING(6.563869156 53.1576159, 6.5634635 53.157964, 6.542866 53.1784141, 6.542351022 53.180174289, 6.5327175 53.1834171, 6.5327826 53.1834623, 6.515375 53.1961542, 6.511969529 53.198353013);19,7;0,027037869
110;LINESTRING(6.4594393 53.0662134, 6.4265558 53.111234, 6.4332689 53.137893, 6.43338235 53.1379499, 6.4334958 53.1380068, 6.4558661 53.1463529);2691,286;4,157333229
112;LINESTRING(6.604028009 52.8319861, 6.6097123 52.8304456, 6.7251579 52.803308, 6.732182162 52.802750138);14,862;0,072226258
113;LINESTRING(6.604028009 52.8319861, 6.6037902 52.8308387, 6.5824213 52.8173819, 6.5785226 52.7613255, 6.5433154 52.7387171, 6.5431926 52.7387245, 6.5430698 52.7387319, 6.5082119 52.732716, 6.505810137 52.731512225);37909,454;62,58866392
114;LINESTRING(6.522411721 52.874058307, 6.51436796 52.87133086);3,9;0,001862202
117;LINESTRING(6.51436796 52.87133086, 6.5121296 52.8608196, 6.5073579 52.8566795, 6.50768612 52.85367502);234699,791;47,08190888
118;LINESTRING(6.759286925 52.657511254, 6.7597785 52.6609569, 6.75302 52.67207, 6.74926515 52.6743192);513,092;0,278912483
119;LINESTRING(6.759286925 52.657511254, 6.75484 52.65463, 6.7533251 52.6520876, 6.7540497 52.64975445, 6.7553164 52.6474709, 6.7565351 52.6425827);7,871;0,009006737
