Produced;Treated;Amount;tag;colour
POINT (4.81 52.40);POINT (4.45 51.54);2,6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.40);POINT (5.32 51.90);1,45;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.40);POINT (5.73 51.85);2,476;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.40);POINT (6.06 50.89);0,045;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.40);POINT (6.06 52.62);4,94;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.35);POINT (4.94 51.83);0,026;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.35);POINT (5.11 52.04);0,424;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.37);POINT (4.78 52.20);0,95;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.37);POINT (5.08 52.13);0,1;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.34);POINT (6.58 51.99);0,098;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.37);POINT (4.93 52.04);30,1;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.34);POINT (4.88 52.20);5,72;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.38);POINT (5.06 52.11);4,82;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.37);POINT (6.05 53.11);0,005;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.40);POINT (4.45 51.54);1,08;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.40);POINT (4.63 51.79);1252,76;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.40);POINT (4.88 51.80);11,2;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.35);POINT (5.08 52.13);0,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.35);POINT (5.08 52.13);0,46;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (6.58 51.99);0,989;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (5.57 52.26);118,48;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.34);POINT (5.37 52.16);0,008;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.40);POINT (4.31 51.90);141,95;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.40);POINT (4.63 51.79);42,74;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.35);POINT (4.78 52.20);15,06;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (4.45 51.54);1,38;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (5.32 51.90);3,06;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (4.72 51.82);1492,16;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (5.10 51.57);24,26;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (5.11 52.04);0,565;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (5.43 51.43);400,88;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (5.91 51.33);14,58;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.37);POINT (4.36 52.06);12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.37);POINT (4.87 52.21);121;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.34);POINT (4.88 52.17);1134,39;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.34);POINT (5.04 51.70);5,8;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.34);POINT (5.06 52.11);25,98;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.34);POINT (5.07 52.11);776,68;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.37);POINT (4.76 52.60);194,38;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.34);POINT (4.87 52.21);4,33;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.37);POINT (4.56 52.27);2,64;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.37);POINT (5.06 52.11);235,08;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (4.45 51.54);0,26;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (6.77 52.27);13,23;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (5.11 52.04);0,312;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.81 52.39);POINT (5.30 51.97);28,06;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.83 51.65);15,044;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.99 51.86);0,9;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (5.73 51.85);30,612;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.38);POINT (4.99 51.84);102,82;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (5.11 52.04);0,116;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.37);POINT (4.88 52.17);1521,7;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (5.43 51.43);7,02;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.37);POINT (5.11 52.04);0,026;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (5.06 52.11);294,16;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.78 52.20);0,2;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.38);POINT (4.94 51.83);0,124;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (6.05 53.11);0,266;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.94 51.83);2,266;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.38);POINT (5.11 52.04);0,912;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.33);POINT (4.94 51.83);0,227;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.78 52.20);0,04;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.38);POINT (4.38 51.90);4,46;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.38);POINT (4.60 51.69);98,36;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.38);POINT (4.88 51.80);2,58;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.38);POINT (4.94 51.83);2,576;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.25 51.50);1,044;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.26 51.88);9,19;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.27 51.89);73,4;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.58 51.67);162,235;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.60 51.69);11,76;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.73 51.81);2,04;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (5.79 51.84);147,66;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (6.05 53.11);73,654;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (5.06 52.11);234,36;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.45 51.54);0,8;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.38);POINT (5.32 51.90);4,31;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.38);POINT (6.05 53.11);4,967;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.38);POINT (4.88 51.80);2,2;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.37);POINT (5.08 52.13);0,04;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.45 51.54);0,52;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.45 51.54);0,78;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.11 52.04);0,184;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (5.32 51.90);2,06;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (4.58 51.67);53,535;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (6.05 53.11);5,553;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.11 52.04);0,806;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.60 51.69);3,6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.24 51.82);20,28;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.76 51.81);5,895;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.45 51.54);6,06;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.60 51.69);83,36;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.94 51.83);0,018;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (5.11 52.04);1,448;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (6.05 53.11);23,485;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.36);POINT (5.07 52.11);113,42;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.73 51.85);0,18;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.37);POINT (5.08 52.13);0,04;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (5.56 51.43);0,184;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.37);POINT (5.08 52.13);0,06;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.56 52.27);20,62;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (4.86 52.03);0,82;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (5.07 52.11);7,8;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (5.37 52.16);0,468;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.35);POINT (6.06 50.89);0,305;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.45 51.54);14,98;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.47 51.56);118;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.60 51.69);34,98;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.60 51.68);96,86;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.62 51.78);65,995;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.89 52.75);281,4;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.94 51.83);0,068;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (5.87 52.56);265,28;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (6.78 52.24);66,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.11 52.04);8491,017;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.28 52.12);6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.11 51.92);1,4;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.17 51.95);1256,72;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.45 51.54);2,56;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.45 51.54);9,46;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.50 52.03);243,22;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.54 51.94);1,36;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.58 51.67);24,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.60 51.69);15,52;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.68 52.73);855,16;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.73 51.81);2099,986;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.76 52.61);1,96;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.07 52.11);676,72;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.11 52.04);53,667;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.20 51.79);72,6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.39 52.20);21,28;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.49 52.35);1487,62;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.75 53.18);891,44;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (5.87 52.97);409,3;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (6.06 52.62);722,95;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (6.28 53.19);3051,71;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (6.51 52.78);77,38;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (6.61 53.19);258,14;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (6.84 52.98);0,33;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (6.97 53.28);81,6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.37);POINT (5.89 52.97);0,72;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (5.07 52.11);191,4;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.37);POINT (5.32 51.90);0,1;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (4.26 51.88);0,036;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (4.42 51.88);3,88;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (5.04 51.70);5,304;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (5.86 51.72);0,036;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (6.05 53.11);0,279;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.45 51.54);13,19;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (5.11 52.04);2,653;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (6.05 53.11);0,189;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.88 52.20);418,224;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.56 51.66);0,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.45 51.54);1,44;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (5.62 52.16);1,32;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.60 51.69);134,98;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (4.94 51.83);4,463;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (5.06 52.11);11,7;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (5.07 52.11);14,74;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (5.11 52.04);0,855;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (5.28 51.72);0,262;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (4.12 51.93);47,894;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (4.72 51.82);22,176;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (4.78 52.20);0,58;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (4.94 51.83);2,083;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (5.43 51.43);46,438;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (6.84 52.98);1,85;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.12 51.93);1,195;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (5.73 51.85);0,262;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.40);POINT (5.89 52.97);62,22;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.37);POINT (5.08 52.13);0,28;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (4.72 51.82);0,412;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.34);POINT (5.43 51.43);64,205;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.94 51.83);3,205;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.45 51.54);0,7;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (4.94 51.83);0,182;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.36);POINT (5.06 52.11);42,54;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.45 51.54);0,28;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (4.71 52.00);0,08;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.41);POINT (6.36 53.15);13,68;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.82 52.39);POINT (6.05 53.11);0,487;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.34);POINT (4.45 51.54);0,28;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.34);POINT (4.72 51.82);1,356;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.34);POINT (5.11 52.04);0,522;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.60 51.69);68,94;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.83 52.68);285,3;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.89 51.62);268,98;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.11 52.04);0,83;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.35);POINT (5.39 52.20);2,34;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.35);POINT (4.76 52.60);4,94;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.37);POINT (6.05 53.11);0,504;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (5.32 51.90);17,28;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (6.05 53.11);0,26;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.06 52.11);78,56;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.07 52.11);21,66;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (4.45 51.54);1,8;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (5.37 52.16);26,046;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (5.60 52.03);2,34;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (4.29 52.01);18,7;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (4.72 51.82);0,634;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (6.58 51.99);0,517;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (5.65 51.24);11,255;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (6.06 52.62);5,28;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (6.58 51.99);0,936;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.34);POINT (4.94 51.83);0,395;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (4.45 51.54);8,239;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (4.60 51.69);5,66;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (4.62 51.78);19,88;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (4.89 51.96);452,58;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (4.94 51.83);4,802;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (5.04 51.70);17,7;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (5.32 51.90);2,02;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.38);POINT (5.08 52.13);1,08;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.38);POINT (4.87 52.20);0,04;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.06 52.11);11,86;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (4.45 51.54);3,52;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (4.45 51.54);0,9;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (5.63 52.65);6,04;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (6.06 52.62);914,21;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.38);POINT (4.44 52.21);9,94;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.37);POINT (5.08 52.13);0,02;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.37);POINT (4.87 52.20);0,02;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (4.60 51.69);2,4;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (4.45 51.54);8,26;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.39);POINT (5.11 52.04);0,514;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.36);POINT (4.56 52.27);13,84;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.35);POINT (4.52 52.13);0,64;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.34);POINT (4.99 51.84);156,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.38);POINT (4.45 51.54);1,16;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.38);POINT (5.11 52.04);0,202;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.32 51.90);80,8;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.33 51.88);215,48;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.45 51.54);0,64;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.51 52.25);45,18;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.58 51.67);1231,66;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.58 51.68);539,58;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.79 52.64);1604,55;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (4.99 51.84);204,34;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.06 51.60);24,18;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.11 52.04);0,09;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.16 52.02);13056,95;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.32 51.90);0,05;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.38 52.22);80,04;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.61 52.31);4829,29;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (5.70 52.46);121,86;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (6.06 52.62);15,36;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (6.07 52.20);23,96;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.41);POINT (6.51 52.78);5493,04;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (4.60 51.68);93,98;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (4.62 51.78);153,822;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (4.72 51.82);4,48;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (5.05 52.07);0,004;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (5.08 52.13);1,08;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.83 52.40);POINT (5.11 52.04);0,414;Waste treated outside of the metropolitan region;rgb(94,82,160)
